Redshift,Comoving distance (Mpc),Luminosity distance (Mpc),Angular-diameter distance (Mpc),Proper distance (Mpc)
23.93,11470.751,285965.833,460.118,4209.723
23.94,11471.411,286096.997,459.96,4209.75
23.95,11472.071,286228.165,459.802,4209.776
23.96,11472.73,286359.335,459.645,4209.802
23.97,11473.388,286490.509,459.487,4209.829
23.98,11474.047,286621.686,459.329,4209.855
23.99,11474.705,286752.867,459.172,4209.881
24,11475.362,286884.051,459.014,4209.908
24.01,11476.019,287015.238,458.857,4209.934
24.02,11476.676,287146.428,458.7,4209.96
24.03,11477.332,287277.621,458.543,4209.987
24.04,11477.988,287408.818,458.386,4210.013
24.05,11478.643,287540.018,458.229,4210.039
24.06,11479.299,287671.222,458.073,4210.065
24.07,11479.953,287802.428,457.916,4210.091
24.08,11480.608,287933.638,457.759,4210.117
24.09,11481.261,288064.851,457.603,4210.143
24.1,11481.915,288196.067,457.447,4210.169
24.11,11482.568,288327.287,457.291,4210.195
24.12,11483.221,288458.509,457.135,4210.221
24.13,11483.873,288589.735,456.979,4210.247
24.14,11484.525,288720.965,456.823,4210.273
24.15,11485.177,288852.197,456.667,4210.299
24.16,11485.828,288983.433,456.511,4210.325
24.17,11486.479,289114.672,456.356,4210.351
24.18,11487.129,289245.914,456.201,4210.377
24.19,11487.779,289377.159,456.045,4210.403
24.2,11488.429,289508.408,455.89,4210.428
24.21,11489.078,289639.66,455.735,4210.454
24.22,11489.727,289770.915,455.58,4210.48
24.23,11490.375,289902.173,455.425,4210.506
24.24,11491.024,290033.435,455.27,4210.531
24.25,11491.671,290164.699,455.116,4210.557
24.26,11492.319,290295.967,454.961,4210.583
24.27,11492.966,290427.238,454.807,4210.608
24.28,11493.612,290558.513,454.652,4210.634
24.29,11494.258,290689.79,454.498,4210.659
24.3,11494.904,290821.071,454.344,4210.685
24.31,11495.549,290952.355,454.19,4210.71
24.32,11496.194,291083.642,454.036,4210.736
24.33,11496.839,291214.933,453.882,4210.761
24.34,11497.483,291346.226,453.729,4210.787
24.35,11498.127,291477.523,453.575,4210.812
24.36,11498.771,291608.823,453.422,4210.837
24.37,11499.414,291740.126,453.268,4210.863
24.38,11500.056,291871.433,453.115,4210.888
24.39,11500.699,292002.742,452.962,4210.913
24.4,11501.341,292134.055,452.809,4210.939
24.41,11501.982,292265.371,452.656,4210.964
24.42,11502.624,292396.69,452.503,4210.989
24.43,11503.264,292528.012,452.35,4211.014
24.44,11503.905,292659.338,452.198,4211.04
24.45,11504.545,292790.666,452.045,4211.065
24.46,11505.185,292921.998,451.893,4211.09
24.47,11505.824,293053.333,451.74,4211.115
24.48,11506.463,293184.671,451.588,4211.14
24.49,11507.101,293316.013,451.436,4211.165
24.5,11507.739,293447.357,451.284,4211.19
24.51,11508.377,293578.705,451.132,4211.215
24.52,11509.015,293710.056,450.98,4211.24
24.53,11509.652,293841.41,450.829,4211.265
24.54,11510.288,293972.767,450.677,4211.29
24.55,11510.925,294104.127,450.525,4211.315
24.56,11511.561,294235.491,450.374,4211.34
24.57,11512.196,294366.857,450.223,4211.365
24.58,11512.831,294498.227,450.072,4211.39
24.59,11513.466,294629.6,449.921,4211.414
24.6,11514.101,294760.976,449.77,4211.439
24.61,11514.735,294892.355,449.619,4211.464
24.62,11515.368,295023.738,449.468,4211.489
24.63,11516.002,295155.123,449.317,4211.513
24.64,11516.635,295286.512,449.167,4211.538
24.65,11517.267,295417.904,449.016,4211.563
24.66,11517.899,295549.299,448.866,4211.587
24.67,11518.531,295680.697,448.716,4211.612
24.68,11519.163,295812.098,448.566,4211.637
24.69,11519.794,295943.502,448.415,4211.661
24.7,11520.425,296074.91,448.266,4211.686
24.71,11521.055,296206.321,448.116,4211.71
24.72,11521.685,296337.734,447.966,4211.735
24.73,11522.314,296469.151,447.816,4211.759
24.74,11522.944,296600.571,447.667,4211.784
24.75,11523.573,296731.994,447.517,4211.808
24.76,11524.201,296863.421,447.368,4211.832
24.77,11524.829,296994.85,447.219,4211.857
24.78,11525.457,297126.282,447.07,4211.881
24.79,11526.084,297257.718,446.921,4211.906
24.8,11526.711,297389.157,446.772,4211.93
24.81,11527.338,297520.598,446.623,4211.954
24.82,11527.965,297652.043,446.474,4211.978
24.83,11528.59,297783.491,446.326,4212.003
24.84,11529.216,297914.943,446.177,4212.027
24.85,11529.841,298046.397,446.029,4212.051
24.86,11530.466,298177.854,445.88,4212.075
24.87,11531.091,298309.315,445.732,4212.099
24.88,11531.715,298440.778,445.584,4212.123
24.89,11532.339,298572.245,445.436,4212.148
24.9,11532.962,298703.715,445.288,4212.172
24.91,11533.585,298835.187,445.14,4212.196
24.92,11534.208,298966.663,444.993,4212.22
24.93,11534.83,299098.142,444.845,4212.244
24.94,11535.452,299229.624,444.697,4212.268
24.95,11536.074,299361.11,444.55,4212.292
24.96,11536.695,299492.598,444.403,4212.316
24.97,11537.316,299624.089,444.256,4212.34
24.98,11537.936,299755.584,444.108,4212.363
24.99,11538.556,299887.081,443.961,4212.387
25,11539.176,300018.582,443.814,4212.411
25.01,11539.796,300150.085,443.668,4212.435
25.02,11540.415,300281.592,443.521,4212.459
25.03,11541.033,300413.102,443.374,4212.483
25.04,11541.652,300544.615,443.228,4212.506
25.05,11542.27,300676.131,443.081,4212.53
25.06,11542.888,300807.65,442.935,4212.554
25.07,11543.505,300939.172,442.789,4212.577
25.08,11544.122,301070.697,442.643,4212.601
25.09,11544.738,301202.225,442.497,4212.625
25.1,11545.355,301333.756,442.351,4212.648
25.11,11545.971,301465.291,442.205,4212.672
25.12,11546.586,301596.828,442.059,4212.695
25.13,11547.201,301728.369,441.914,4212.719
25.14,11547.816,301859.912,441.768,4212.743
25.15,11548.431,301991.459,441.623,4212.766
25.16,11549.045,302123.008,441.477,4212.79
25.17,11549.658,302254.561,441.332,4212.813
25.18,11550.272,302386.116,441.187,4212.836
25.19,11550.885,302517.675,441.042,4212.86
25.2,11551.498,302649.237,440.897,4212.883
25.21,11552.11,302780.802,440.752,4212.907
25.22,11552.722,302912.37,440.607,4212.93
25.23,11553.334,303043.94,440.463,4212.953
25.24,11553.945,303175.514,440.318,4212.977
25.25,11554.556,303307.091,440.174,4213
25.26,11555.166,303438.671,440.029,4213.023
25.27,11555.777,303570.254,439.885,4213.046
25.28,11556.387,303701.84,439.741,4213.07
25.29,11556.996,303833.429,439.597,4213.093
25.3,11557.605,303965.021,439.453,4213.116
25.31,11558.214,304096.616,439.309,4213.139
25.32,11558.823,304228.215,439.165,4213.162
25.33,11559.431,304359.816,439.021,4213.185
25.34,11560.039,304491.42,438.878,4213.208
25.35,11560.646,304623.027,438.734,4213.231
25.36,11561.253,304754.637,438.591,4213.254
25.37,11561.86,304886.25,438.447,4213.277
25.38,11562.467,305017.867,438.304,4213.3
25.39,11563.073,305149.486,438.161,4213.323
25.4,11563.678,305281.108,438.018,4213.346
25.41,11564.284,305412.733,437.875,4213.369
25.42,11564.889,305544.361,437.732,4213.392
25.43,11565.493,305675.993,437.59,4213.415
25.44,11566.098,305807.627,437.447,4213.438
25.45,11566.702,305939.264,437.304,4213.461
25.46,11567.306,306070.904,437.162,4213.484
25.47,11567.909,306202.548,437.02,4213.506
25.48,11568.512,306334.194,436.877,4213.529
25.49,11569.114,306465.843,436.735,4213.552
25.5,11569.717,306597.495,436.593,4213.575
25.51,11570.319,306729.15,436.451,4213.597
25.52,11570.92,306860.809,436.309,4213.62
25.53,11571.522,306992.47,436.167,4213.643
25.54,11572.123,307124.134,436.026,4213.665
25.55,11572.723,307255.801,435.884,4213.688
25.56,11573.323,307387.471,435.743,4213.711
25.57,11573.923,307519.144,435.601,4213.733
25.58,11574.523,307650.82,435.46,4213.756
25.59,11575.122,307782.499,435.319,4213.778
25.6,11575.721,307914.181,435.177,4213.801
25.61,11576.32,308045.866,435.036,4213.823
25.62,11576.918,308177.554,434.895,4213.846
25.63,11577.516,308309.245,434.755,4213.868
25.64,11578.113,308440.939,434.614,4213.891
25.65,11578.711,308572.636,434.473,4213.913
25.66,11579.307,308704.335,434.333,4213.935
25.67,11579.904,308836.038,434.192,4213.958
25.68,11580.5,308967.744,434.052,4213.98
25.69,11581.096,309099.453,433.911,4214.003
25.7,11581.692,309231.164,433.771,4214.025
25.71,11582.287,309362.879,433.631,4214.047
25.72,11582.882,309494.596,433.491,4214.069
25.73,11583.476,309626.317,433.351,4214.092
25.74,11584.07,309758.04,433.211,4214.114
25.75,11584.664,309889.767,433.072,4214.136
25.76,11585.258,310021.496,432.932,4214.158
25.77,11585.851,310153.228,432.792,4214.18
25.78,11586.444,310284.963,432.653,4214.203
25.79,11587.036,310416.701,432.513,4214.225
25.8,11587.628,310548.443,432.374,4214.247
25.81,11588.22,310680.187,432.235,4214.269
25.82,11588.812,310811.934,432.096,4214.291
25.83,11589.403,310943.683,431.957,4214.313
25.84,11589.994,311075.436,431.818,4214.335
25.85,11590.584,311207.192,431.679,4214.357
25.86,11591.175,311338.951,431.54,4214.379
25.87,11591.765,311470.712,431.402,4214.401
25.88,11592.354,311602.477,431.263,4214.423
25.89,11592.943,311734.244,431.125,4214.445
25.9,11593.532,311866.015,430.986,4214.467
25.91,11594.121,311997.788,430.848,4214.489
25.92,11594.709,312129.564,430.71,4214.51
25.93,11595.297,312261.343,430.572,4214.532
25.94,11595.884,312393.125,430.434,4214.554
25.95,11596.472,312524.91,430.296,4214.576
25.96,11597.059,312656.698,430.158,4214.598
25.97,11597.645,312788.489,430.02,4214.619
25.98,11598.231,312920.283,429.883,4214.641
25.99,11598.817,313052.079,429.745,4214.663
26,11599.403,313183.879,429.608,4214.685
26.01,11599.988,313315.681,429.47,4214.706
26.02,11600.573,313447.487,429.333,4214.728
26.03,11601.158,313579.295,429.196,4214.749
26.04,11601.742,313711.106,429.059,4214.771
26.05,11602.326,313842.92,428.921,4214.793
26.06,11602.91,313974.737,428.785,4214.814
26.07,11603.493,314106.557,428.648,4214.836
26.08,11604.076,314238.38,428.511,4214.857
26.09,11604.659,314370.205,428.374,4214.879
26.1,11605.241,314502.034,428.238,4214.9
26.11,11605.823,314633.865,428.101,4214.922
26.12,11606.405,314765.699,427.965,4214.943
26.13,11606.986,314897.536,427.828,4214.965
26.14,11607.567,315029.377,427.692,4214.986
26.15,11608.148,315161.219,427.556,4215.007
26.16,11608.728,315293.065,427.42,4215.029
26.17,11609.309,315424.914,427.284,4215.05
26.18,11609.888,315556.765,427.148,4215.072
26.19,11610.468,315688.62,427.012,4215.093
26.2,11611.047,315820.477,426.877,4215.114
26.21,11611.626,315952.337,426.741,4215.135
26.22,11612.204,316084.2,426.606,4215.157
26.23,11612.782,316216.066,426.47,4215.178
26.24,11613.36,316347.935,426.335,4215.199
26.25,11613.938,316479.807,426.2,4215.22
26.26,11614.515,316611.681,426.064,4215.242
26.27,11615.092,316743.559,425.929,4215.263
26.28,11615.669,316875.439,425.794,4215.284
26.29,11616.245,317007.322,425.659,4215.305
26.3,11616.821,317139.208,425.525,4215.326
26.31,11617.396,317271.097,425.39,4215.347
26.32,11617.972,317402.988,425.255,4215.368
26.33,11618.547,317534.883,425.121,4215.389
26.34,11619.121,317666.78,424.986,4215.41
26.35,11619.696,317798.681,424.852,4215.431
26.36,11620.27,317930.584,424.717,4215.452
26.37,11620.844,318062.49,424.583,4215.473
26.38,11621.417,318194.398,424.449,4215.494
26.39,11621.99,318326.31,424.315,4215.515
26.4,11622.563,318458.224,424.181,4215.536
26.41,11623.135,318590.142,424.047,4215.557
26.42,11623.708,318722.062,423.913,4215.578
26.43,11624.279,318853.985,423.78,4215.599
26.44,11624.851,318985.911,423.646,4215.619
26.45,11625.422,319117.839,423.513,4215.64
26.46,11625.993,319249.771,423.379,4215.661
26.47,11626.564,319381.705,423.246,4215.682
26.48,11627.134,319513.642,423.113,4215.703
26.49,11627.704,319645.582,422.979,4215.723
26.5,11628.274,319777.525,422.846,4215.744
26.51,11628.843,319909.47,422.713,4215.765
26.52,11629.412,320041.419,422.58,4215.785
26.53,11629.981,320173.37,422.448,4215.806
26.54,11630.549,320305.324,422.315,4215.827
26.55,11631.117,320437.281,422.182,4215.847
26.56,11631.685,320569.241,422.05,4215.868
26.57,11632.253,320701.203,421.917,4215.889
26.58,11632.82,320833.169,421.785,4215.909
26.59,11633.387,320965.137,421.652,4215.93
26.6,11633.953,321097.108,421.52,4215.95
26.61,11634.519,321229.081,421.388,4215.971
26.62,11635.085,321361.058,421.256,4215.991
26.63,11635.651,321493.037,421.124,4216.012
26.64,11636.216,321625.02,420.992,4216.032
26.65,11636.781,321757.005,420.86,4216.053
26.66,11637.346,321888.992,420.728,4216.073
26.67,11637.91,322020.983,420.597,4216.093
26.68,11638.475,322152.976,420.465,4216.114
26.69,11639.038,322284.973,420.334,4216.134
26.7,11639.602,322416.972,420.202,4216.154
26.71,11640.165,322548.973,420.071,4216.175
26.72,11640.728,322680.978,419.94,4216.195
26.73,11641.29,322812.985,419.809,4216.215
26.74,11641.853,322944.995,419.677,4216.236
26.75,11642.415,323077.008,419.546,4216.256
26.76,11642.976,323209.024,419.416,4216.276
26.77,11643.538,323341.043,419.285,4216.296
26.78,11644.099,323473.064,419.154,4216.317
26.79,11644.66,323605.088,419.023,4216.337
26.8,11645.22,323737.115,418.893,4216.357
26.81,11645.78,323869.145,418.762,4216.377
26.82,11646.34,324001.177,418.632,4216.397
26.83,11646.899,324133.212,418.502,4216.417
26.84,11647.459,324265.25,418.371,4216.437
26.85,11648.018,324397.291,418.241,4216.457
26.86,11648.576,324529.334,418.111,4216.478
26.87,11649.135,324661.381,417.981,4216.498
26.88,11649.693,324793.43,417.851,4216.518
26.89,11650.25,324925.482,417.721,4216.538
26.9,11650.808,325057.536,417.592,4216.558
26.91,11651.365,325189.593,417.462,4216.578
26.92,11651.922,325321.654,417.332,4216.598
26.93,11652.478,325453.716,417.203,4216.617
26.94,11653.034,325585.782,417.074,4216.637
26.95,11653.59,325717.85,416.944,4216.657
26.96,11654.146,325849.922,416.815,4216.677
26.97,11654.701,325981.995,416.686,4216.697
26.98,11655.256,326114.072,416.557,4216.717
26.99,11655.811,326246.152,416.428,4216.737
27,11656.365,326378.234,416.299,4216.756
27.01,11656.92,326510.319,416.17,4216.776
27.02,11657.473,326642.406,416.041,4216.796
27.03,11658.027,326774.497,415.912,4216.816
27.04,11658.58,326906.59,415.784,4216.835
27.05,11659.133,327038.686,415.655,4216.855
27.06,11659.686,327170.784,415.527,4216.875
27.07,11660.238,327302.886,415.399,4216.895
27.08,11660.79,327434.99,415.27,4216.914
27.09,11661.342,327567.097,415.142,4216.934
27.1,11661.893,327699.206,415.014,4216.954
27.11,11662.445,327831.318,414.886,4216.973
27.12,11662.996,327963.434,414.758,4216.993
27.13,11663.546,328095.551,414.63,4217.012
27.14,11664.096,328227.672,414.502,4217.032
27.15,11664.646,328359.795,414.375,4217.051
27.16,11665.196,328491.921,414.247,4217.071
27.17,11665.745,328624.05,414.119,4217.09
27.18,11666.295,328756.181,413.992,4217.11
27.19,11666.843,328888.315,413.865,4217.129
27.2,11667.392,329020.452,413.737,4217.149
27.21,11667.94,329152.592,413.61,4217.168
27.22,11668.488,329284.734,413.483,4217.188
27.23,11669.036,329416.879,413.356,4217.207
27.24,11669.583,329549.027,413.229,4217.226
27.25,11670.13,329681.177,413.102,4217.246
27.26,11670.677,329813.33,412.975,4217.265
27.27,11671.223,329945.486,412.848,4217.285
27.28,11671.77,330077.645,412.722,4217.304
27.29,11672.316,330209.806,412.595,4217.323
27.3,11672.861,330341.97,412.469,4217.342
27.31,11673.406,330474.137,412.342,4217.362
27.32,11673.951,330606.306,412.216,4217.381
27.33,11674.496,330738.478,412.09,4217.4
27.34,11675.041,330870.653,411.963,4217.419
27.35,11675.585,331002.83,411.837,4217.439
27.36,11676.129,331135.011,411.711,4217.458
27.37,11676.672,331267.193,411.585,4217.477
27.38,11677.216,331399.379,411.459,4217.496
27.39,11677.759,331531.567,411.334,4217.515
27.4,11678.301,331663.758,411.208,4217.534
27.41,11678.844,331795.952,411.082,4217.553
27.42,11679.386,331928.148,410.957,4217.573
27.43,11679.928,332060.347,410.831,4217.592
27.44,11680.469,332192.549,410.706,4217.611
27.45,11681.011,332324.753,410.58,4217.63
27.46,11681.552,332456.96,410.455,4217.649
27.47,11682.092,332589.17,410.33,4217.668
27.48,11682.633,332721.383,410.205,4217.687
27.49,11683.173,332853.598,410.08,4217.706
27.5,11683.713,332985.816,409.955,4217.725
27.51,11684.252,333118.036,409.83,4217.743
27.52,11684.792,333250.259,409.705,4217.762
27.53,11685.331,333382.485,409.58,4217.781
27.54,11685.869,333514.714,409.456,4217.8
27.55,11686.408,333646.945,409.331,4217.819
27.56,11686.946,333779.179,409.207,4217.838
27.57,11687.484,333911.415,409.082,4217.857
27.58,11688.021,334043.654,408.958,4217.876
27.59,11688.559,334175.896,408.834,4217.894
27.6,11689.096,334308.141,408.71,4217.913
27.61,11689.633,334440.388,408.586,4217.932
27.62,11690.169,334572.638,408.462,4217.951
27.63,11690.705,334704.89,408.338,4217.969
27.64,11691.241,334837.145,408.214,4217.988
27.65,11691.777,334969.403,408.09,4218.007
27.66,11692.312,335101.664,407.966,4218.025
27.67,11692.847,335233.927,407.843,4218.044
27.68,11693.382,335366.192,407.719,4218.063
27.69,11693.916,335498.461,407.596,4218.081
27.7,11694.451,335630.732,407.472,4218.1
27.71,11694.985,335763.006,407.349,4218.119
27.72,11695.518,335895.282,407.226,4218.137
27.73,11696.052,336027.561,407.102,4218.156
27.74,11696.585,336159.843,406.979,4218.174
27.75,11697.117,336292.127,406.856,4218.193
27.76,11697.65,336424.414,406.733,4218.211
27.77,11698.182,336556.703,406.61,4218.23
27.78,11698.714,336688.996,406.488,4218.248
27.79,11699.246,336821.29,406.365,4218.267
27.8,11699.777,336953.588,406.242,4218.285
27.81,11700.309,337085.888,406.12,4218.304
27.82,11700.839,337218.191,405.997,4218.322
27.83,11701.37,337350.496,405.875,4218.341
27.84,11701.9,337482.804,405.752,4218.359
27.85,11702.43,337615.115,405.63,4218.377
27.86,11702.96,337747.428,405.508,4218.396
27.87,11703.49,337879.744,405.386,4218.414
27.88,11704.019,338012.062,405.264,4218.432
27.89,11704.548,338144.384,405.142,4218.451
27.9,11705.076,338276.707,405.02,4218.469
27.91,11705.605,338409.034,404.898,4218.487
27.92,11706.133,338541.363,404.776,4218.505
27.93,11706.661,338673.694,404.655,4218.524
27.94,11707.188,338806.029,404.533,4218.542
27.95,11707.716,338938.365,404.412,4218.56
27.96,11708.243,339070.705,404.29,4218.578
27.97,11708.769,339203.047,404.169,4218.597
27.98,11709.296,339335.392,404.047,4218.615
27.99,11709.822,339467.739,403.926,4218.633
28,11710.348,339600.089,403.805,4218.651
28.01,11710.874,339732.441,403.684,4218.669
28.02,11711.399,339864.797,403.563,4218.687
28.03,11711.924,339997.154,403.442,4218.705
28.04,11712.449,340129.515,403.321,4218.723
28.05,11712.973,340261.877,403.2,4218.742
28.06,11713.498,340394.243,403.08,4218.76
28.07,11714.022,340526.611,402.959,4218.778
28.08,11714.545,340658.982,402.839,4218.796
28.09,11715.069,340791.355,402.718,4218.814
28.1,11715.592,340923.731,402.598,4218.832
28.11,11716.115,341056.11,402.477,4218.85
28.12,11716.638,341188.491,402.357,4218.867
28.13,11717.16,341320.874,402.237,4218.885
28.14,11717.682,341453.261,402.117,4218.903
28.15,11718.204,341585.649,401.997,4218.921
28.16,11718.726,341718.041,401.877,4218.939
28.17,11719.247,341850.435,401.757,4218.957
28.18,11719.768,341982.832,401.637,4218.975
28.19,11720.289,342115.231,401.517,4218.993
28.2,11720.809,342247.633,401.398,4219.011
28.21,11721.33,342380.037,401.278,4219.028
28.22,11721.85,342512.444,401.158,4219.046
28.23,11722.369,342644.853,401.039,4219.064
28.24,11722.889,342777.265,400.92,4219.082
28.25,11723.408,342909.68,400.8,4219.099
28.26,11723.927,343042.097,400.681,4219.117
28.27,11724.445,343174.517,400.562,4219.135
28.28,11724.964,343306.94,400.443,4219.153
28.29,11725.482,343439.365,400.324,4219.17
28.3,11726,343571.792,400.205,4219.188
28.31,11726.517,343704.222,400.086,4219.206
28.32,11727.035,343836.655,399.967,4219.223
28.33,11727.552,343969.09,399.848,4219.241
28.34,11728.068,344101.528,399.73,4219.259
28.35,11728.585,344233.968,399.611,4219.276
28.36,11729.101,344366.411,399.493,4219.294
28.37,11729.617,344498.856,399.374,4219.311
28.38,11730.133,344631.304,399.256,4219.329
28.39,11730.648,344763.755,399.137,4219.346
28.4,11731.164,344896.208,399.019,4219.364
28.41,11731.678,345028.664,398.901,4219.381
28.42,11732.193,345161.122,398.783,4219.399
28.43,11732.708,345293.583,398.665,4219.416
28.44,11733.222,345426.046,398.547,4219.434
28.45,11733.736,345558.512,398.429,4219.451
28.46,11734.249,345690.98,398.311,4219.469
28.47,11734.763,345823.451,398.194,4219.486
28.48,11735.276,345955.925,398.076,4219.504
28.49,11735.788,346088.401,397.958,4219.521
28.5,11736.301,346220.88,397.841,4219.538
28.51,11736.813,346353.361,397.723,4219.556
28.52,11737.325,346485.844,397.606,4219.573
28.53,11737.837,346618.331,397.489,4219.59
28.54,11738.349,346750.819,397.371,4219.608
28.55,11738.86,346883.311,397.254,4219.625
28.56,11739.371,347015.804,397.137,4219.642
28.57,11739.882,347148.301,397.02,4219.66
28.58,11740.392,347280.8,396.903,4219.677
28.59,11740.902,347413.301,396.786,4219.694
28.6,11741.412,347545.805,396.669,4219.711
28.61,11741.922,347678.311,396.553,4219.729
28.62,11742.431,347810.82,396.436,4219.746
28.63,11742.941,347943.332,396.319,4219.763
28.64,11743.45,348075.846,396.203,4219.78
28.65,11743.958,348208.363,396.086,4219.797
28.66,11744.467,348340.882,395.97,4219.814
28.67,11744.975,348473.403,395.854,4219.832
28.68,11745.483,348605.927,395.737,4219.849
28.69,11745.99,348738.454,395.621,4219.866
28.7,11746.498,348870.983,395.505,4219.883
28.71,11747.005,349003.515,395.389,4219.9
28.72,11747.512,349136.049,395.273,4219.917
28.73,11748.018,349268.586,395.157,4219.934
28.74,11748.525,349401.125,395.041,4219.951
28.75,11749.031,349533.667,394.925,4219.968
28.76,11749.537,349666.211,394.81,4219.985
28.77,11750.042,349798.758,394.694,4220.002
28.78,11750.548,349931.307,394.578,4220.019
28.79,11751.053,350063.859,394.463,4220.036
28.8,11751.557,350196.413,394.348,4220.053
28.81,11752.062,350328.97,394.232,4220.07
28.82,11752.566,350461.529,394.117,4220.087
28.83,11753.07,350594.09,394.002,4220.104
28.84,11753.574,350726.655,393.887,4220.121
28.85,11754.078,350859.221,393.771,4220.137
28.86,11754.581,350991.791,393.656,4220.154
28.87,11755.084,351124.362,393.541,4220.171
28.88,11755.587,351256.937,393.427,4220.188
28.89,11756.089,351389.513,393.312,4220.205
28.9,11756.592,351522.093,393.197,4220.222
28.91,11757.094,351654.674,393.082,4220.238
28.92,11757.596,351787.258,392.968,4220.255
28.93,11758.097,351919.845,392.853,4220.272
28.94,11758.598,352052.434,392.739,4220.289
28.95,11759.099,352185.026,392.624,4220.305
28.96,11759.6,352317.62,392.51,4220.322
28.97,11760.101,352450.216,392.396,4220.339
28.98,11760.601,352582.816,392.282,4220.356
28.99,11761.101,352715.417,392.167,4220.372
29,11761.601,352848.021,392.053,4220.389
29.01,11762.1,352980.628,391.939,4220.405
29.02,11762.599,353113.237,391.825,4220.422
29.03,11763.099,353245.848,391.712,4220.439
29.04,11763.597,353378.462,391.598,4220.455
29.05,11764.096,353511.078,391.484,4220.472
29.06,11764.594,353643.697,391.37,4220.489
29.07,11765.092,353776.319,391.257,4220.505
29.08,11765.59,353908.942,391.143,4220.522
29.09,11766.087,354041.569,391.03,4220.538
29.1,11766.585,354174.197,390.916,4220.555
29.11,11767.082,354306.829,390.803,4220.571
29.12,11767.578,354439.462,390.69,4220.588
29.13,11768.075,354572.098,390.577,4220.604
29.14,11768.571,354704.737,390.464,4220.621
29.15,11769.067,354837.378,390.35,4220.637
29.16,11769.563,354970.021,390.238,4220.654
29.17,11770.059,355102.667,390.125,4220.67
29.18,11770.554,355235.316,390.012,4220.686
29.19,11771.049,355367.967,389.899,4220.703
29.2,11771.544,355500.62,389.786,4220.719
29.21,11772.038,355633.276,389.674,4220.736
29.22,11772.533,355765.934,389.561,4220.752
29.23,11773.027,355898.595,389.448,4220.768
29.24,11773.52,356031.258,389.336,4220.785
29.25,11774.014,356163.923,389.224,4220.801
29.26,11774.507,356296.591,389.111,4220.817
29.27,11775,356429.262,388.999,4220.834
29.28,11775.493,356561.935,388.887,4220.85
29.29,11775.986,356694.61,388.775,4220.866
29.3,11776.478,356827.288,388.663,4220.882
29.31,11776.97,356959.968,388.551,4220.899
29.32,11777.462,357092.651,388.439,4220.915
29.33,11777.954,357225.336,388.327,4220.931
29.34,11778.445,357358.023,388.215,4220.947
29.35,11778.936,357490.713,388.103,4220.963
29.36,11779.427,357623.406,387.992,4220.98
29.37,11779.918,357756.1,387.88,4220.996
29.38,11780.408,357888.798,387.769,4221.012
29.39,11780.898,358021.497,387.657,4221.028
29.4,11781.388,358154.2,387.546,4221.044
29.41,11781.878,358286.904,387.434,4221.06
29.42,11782.367,358419.611,387.323,4221.076
29.43,11782.856,358552.32,387.212,4221.092
29.44,11783.345,358685.032,387.101,4221.108
29.45,11783.834,358817.746,386.99,4221.124
29.46,11784.322,358950.463,386.879,4221.141
29.47,11784.811,359083.182,386.768,4221.157
29.48,11785.299,359215.904,386.657,4221.173
29.49,11785.786,359348.628,386.546,4221.189
29.5,11786.274,359481.354,386.435,4221.205
29.51,11786.761,359614.083,386.325,4221.221
29.52,11787.248,359746.814,386.214,4221.236
29.53,11787.735,359879.547,386.103,4221.252
29.54,11788.221,360012.283,385.993,4221.268
29.55,11788.708,360145.022,385.882,4221.284
29.56,11789.194,360277.763,385.772,4221.3
29.57,11789.68,360410.506,385.662,4221.316
29.58,11790.165,360543.251,385.552,4221.332
29.59,11790.651,360675.999,385.441,4221.348
29.6,11791.136,360808.75,385.331,4221.364
29.61,11791.62,360941.503,385.221,4221.38
29.62,11792.105,361074.258,385.111,4221.395
29.63,11792.589,361207.016,385.001,4221.411
29.64,11793.074,361339.776,384.891,4221.427
29.65,11793.558,361472.538,384.782,4221.443
29.66,11794.041,361605.303,384.672,4221.459
29.67,11794.525,361738.07,384.562,4221.474
29.68,11795.008,361870.84,384.453,4221.49
29.69,11795.491,362003.612,384.343,4221.506
29.7,11795.973,362136.386,384.234,4221.522
29.71,11796.456,362269.163,384.124,4221.537
29.72,11796.938,362401.942,384.015,4221.553
29.73,11797.42,362534.724,383.906,4221.569
29.74,11797.902,362667.508,383.796,4221.584
29.75,11798.384,362800.294,383.687,4221.6
29.76,11798.865,362933.083,383.578,4221.616
29.77,11799.346,363065.874,383.469,4221.631
29.78,11799.827,363198.667,383.36,4221.647
29.79,11800.307,363331.463,383.251,4221.662
29.8,11800.788,363464.262,383.142,4221.678
29.81,11801.268,363597.062,383.034,4221.694
29.82,11801.748,363729.865,382.925,4221.709
29.83,11802.227,363862.671,382.816,4221.725
29.84,11802.707,363995.478,382.708,4221.74
29.85,11803.186,364128.289,382.599,4221.756
29.86,11803.665,364261.101,382.491,4221.771
29.87,11804.144,364393.916,382.382,4221.787
29.88,11804.622,364526.733,382.274,4221.802
29.89,11805.1,364659.553,382.166,4221.818
29.9,11805.578,364792.375,382.058,4221.833
29.91,11806.056,364925.199,381.949,4221.849
29.92,11806.534,365058.026,381.841,4221.864
29.93,11807.011,365190.855,381.733,4221.88
29.94,11807.488,365323.687,381.625,4221.895
29.95,11807.965,365456.52,381.517,4221.911
29.96,11808.442,365589.357,381.41,4221.926
29.97,11808.918,365722.195,381.302,4221.941
29.98,11809.394,365855.036,381.194,4221.957
29.99,11809.87,365987.879,381.086,4221.972
